DealerID,DealerName,DealerType,City,State
D00001,Koshy-Radhakrishnan,Retail,Naihati,Punjab
D00002,"Chhabra, Guha and Dash",Gold,Rajahmundry,Sikkim
D00003,Pal Ltd,Retail,Ajmer,Rajasthan
D00004,Dhillon-Sangha,Gold,Kirari Suleman Nagar,Uttar Pradesh
D00005,"Boase, Bains and Badal",Distributor,Kota,Telangana
D00006,Sandal-Sibal,Gold,Bhubaneswar,Himachal Pradesh
D00007,"Devi, Chandran and Vohra",Silver,Sasaram,Punjab
D00008,Verma-Sodhi,Silver,Solapur,Tamil Nadu
D00009,Goyal Ltd,Silver,Khora ,Tripura
D00010,Cherian-Cheema,Silver,Gaya,Assam
D00011,Shah-Uppal,Retail,Bilaspur,Arunachal Pradesh
D00012,Chawla-Lata,Distributor,Tumkur,Meghalaya
D00013,Aurora Ltd,Gold,Mehsana,Himachal Pradesh
D00014,"Misra, Dewan and Naidu",Gold,Ahmedabad,Meghalaya
D00015,Kunda-Kanda,Silver,Gaya,Chhattisgarh
D00016,Ray-Mukherjee,Silver,Guna,Tamil Nadu
D00017,Mohanty-Rao,Premium,Warangal,West Bengal
D00018,Parmar-Chaudry,Distributor,Anantapuram,Maharashtra
D00019,Wason LLC,Retail,Sangli-Miraj & Kupwad,Rajasthan
D00020,Gill-Raj,Gold,Sikar,Himachal Pradesh
D00021,"Ray, Swaminathan and Bir",Premium,Kurnool,Uttar Pradesh
D00022,Maharaj PLC,Premium,Avadi,Assam
D00023,"Kala, Rastogi and Mishra",Gold,Tumkur,Uttarakhand
D00024,"Sekhon, Thaker and Deol",Retail,Shivpuri,Arunachal Pradesh
D00025,Bhalla-Narayanan,Premium,Sambalpur,Meghalaya
D00026,"Panchal, Srinivasan and Bahri",Premium,Siliguri,Rajasthan
D00027,Panchal Inc,Distributor,Sangli-Miraj & Kupwad,Mizoram
D00028,Dash-Sawhney,Retail,Bhubaneswar,Jharkhand
D00029,"Kata, Jayaraman and Patla",Premium,Tirupati,Nagaland
D00030,Balakrishnan-Kunda,Retail,Chapra,Maharashtra
D00031,Nigam Group,Gold,Hyderabad,Madhya Pradesh
D00032,Magar Ltd,Silver,Chandrapur,Uttarakhand
D00033,Mohan-Kapoor,Premium,Yamunanagar,Sikkim
D00034,Loyal Inc,Distributor,Panchkula,Andhra Pradesh
D00035,"Bhalla, Muni and Brahmbhatt",Gold,Shahjahanpur,Nagaland
D00036,"Raj, Bhalla and Pau",Retail,Bhalswa Jahangir Pur,Arunachal Pradesh
D00037,"Natarajan, Lata and Rattan",Gold,Kalyan-Dombivli,Tripura
D00038,Sachar and Sons,Premium,Noida,Andhra Pradesh
D00039,Luthra-Som,Retail,Allahabad,Karnataka
D00040,"Datta, Palla and Dewan",Silver,Amaravati,Punjab
D00041,Bir LLC,Gold,Jaunpur,Manipur
D00042,Dua Inc,Premium,Ichalkaranji,Sikkim
D00043,"Yadav, Padmanabhan and Dada",Distributor,Bahraich,Sikkim
D00044,Pradhan-Bansal,Retail,Asansol,Karnataka
D00045,"Borah, Gola and Dyal",Gold,Surendranagar Dudhrej,Maharashtra
D00046,"Borde, Anand and Sahota",Gold,Bhimavaram,Bihar
D00047,Sehgal PLC,Silver,Madanapalle,Himachal Pradesh
D00048,Sarkar Inc,Silver,Farrukhabad,Nagaland
D00049,Goswami-Singhal,Distributor,Latur,Kerala
D00050,Sami-Natt,Distributor,Ichalkaranji,Telangana
D00051,Sarna-Jayaraman,Premium,Jamnagar,Andhra Pradesh
D00052,Oza LLC,Premium,Kolkata,Gujarat
D00053,Kohli-Barad,Distributor,Jamnagar,Goa
D00054,Korpal-Divan,Distributor,Hapur,Himachal Pradesh
D00055,Kalla-Dugar,Retail,Tinsukia,Himachal Pradesh
