InventoryID,DateKey,ProductID,RegionID,OpeningStock,ClosingStock
I000001,20230614,P0421,3,4598,1670
I000002,20240719,P0046,20,306,349
I000003,20241112,P0097,139,1024,1944
I000004,20220217,P0426,93,798,2413
I000005,20240716,P0247,79,4090,3867
I000006,20221022,P0301,147,3639,449
I000007,20240328,P0443,70,1932,2957
I000008,20220209,P0032,8,2315,439
I000009,20220818,P0449,150,4674,727
I000010,20251117,P0365,91,331,3293
I000011,20230721,P0012,25,963,3319
I000012,20221230,P0182,68,531,197
I000013,20231023,P0291,2,4252,2293
I000014,20240715,P0295,148,3850,436
I000015,20241212,P0443,90,1661,3451
I000016,20240530,P0033,105,895,462
I000017,20220824,P0109,103,3850,3270
I000018,20240214,P0103,149,1510,2843
I000019,20250123,P0019,85,4138,831
I000020,20241026,P0173,36,884,1089
I000021,20250127,P0399,22,4933,248
I000022,20231210,P0002,94,4894,2661
I000023,20250510,P0166,48,909,881
I000024,20240404,P0493,144,1150,2380
I000025,20221206,P0168,132,1739,316
I000026,20230817,P0130,18,2399,3117
I000027,20230109,P0045,139,4529,811
I000028,20221126,P0378,50,4861,2143
I000029,20220708,P0010,22,4628,731
I000030,20230718,P0315,133,1469,3743
I000031,20241130,P0266,116,1001,322
I000032,20250523,P0263,130,4595,3953
I000033,20240824,P0071,113,3448,1171
I000034,20220923,P0440,40,3347,2907
I000035,20240209,P0123,55,4614,3603
I000036,20250912,P0467,113,4896,3904
I000037,20230829,P0066,106,2614,714
I000038,20221029,P0153,81,3060,2934
I000039,20230213,P0419,140,2757,2219
I000040,20250922,P0084,70,2340,2940
I000041,20240711,P0121,127,1788,3738
I000042,20240714,P0468,38,2663,3852
I000043,20240422,P0399,114,2903,724
I000044,20250713,P0244,60,2827,1369
I000045,20230716,P0303,87,4910,3436
I000046,20250918,P0478,60,3446,3388
I000047,20241226,P0149,56,1179,459
I000048,20250409,P0313,24,332,2766
I000049,20230715,P0190,85,3814,2079
I000050,20240224,P0333,24,1935,2020
I000051,20240524,P0121,41,3880,1491
I000052,20220921,P0406,150,661,3530
I000053,20241027,P0051,89,3432,2612
I000054,20251127,P0247,73,3636,1292
I000055,20250906,P0122,130,4069,2231
I000056,20250214,P0208,119,1249,762
I000057,20250303,P0108,87,3448,224
I000058,20240107,P0158,44,2752,2748
I000059,20251220,P0049,95,2299,3960
I000060,20221006,P0034,44,4168,3359
I000061,20240525,P0098,64,4178,464
I000062,20230131,P0073,22,1403,2902
I000063,20220720,P0413,103,2163,3272
I000064,20220723,P0426,83,2403,3782
I000065,20240908,P0362,38,1541,2367
I000066,20240501,P0383,138,163,1411
I000067,20221224,P0259,92,992,2333
I000068,20241213,P0032,55,961,1118
I000069,20230302,P0236,107,2240,2887
I000070,20230516,P0461,1,1502,2964
I000071,20250521,P0338,116,3654,2949
I000072,20240824,P0077,17,724,1327
I000073,20231229,P0081,96,3804,3268
I000074,20250214,P0379,137,4652,1626
I000075,20231026,P0386,115,691,968
I000076,20220913,P0197,30,2257,2353
I000077,20220830,P0046,147,3188,1076
I000078,20230917,P0413,28,2199,2823
I000079,20240625,P0296,106,151,2360
I000080,20230325,P0396,95,3925,1258
I000081,20250309,P0380,49,2741,549
I000082,20241025,P0186,62,273,3917
I000083,20230809,P0489,68,1601,2993
I000084,20250918,P0317,26,1870,2076
I000085,20240306,P0283,74,4276,1201
I000086,20241103,P0173,75,2784,2012
I000087,20230121,P0084,74,1617,3838
I000088,20250915,P0175,47,633,2022
I000089,20230908,P0210,38,3060,3486
I000090,20230817,P0368,45,2874,3545
I000091,20220721,P0101,32,3376,1204
I000092,20220703,P0376,12,4993,2523
I000093,20220612,P0215,3,4712,1110
I000094,20230415,P0090,76,496,2097
I000095,20250211,P0405,59,1239,543
I000096,20240108,P0193,149,2179,1455
I000097,20251031,P0447,47,169,3928
I000098,20231219,P0085,56,3920,1037
I000099,20251122,P0014,111,4625,1673
I000100,20231115,P0296,18,2311,1563
I000101,20231211,P0172,77,3017,141
I000102,20250115,P0244,94,2927,408
I000103,20250214,P0073,28,2482,2958
I000104,20230308,P0380,70,1970,3657
I000105,20220326,P0149,85,3803,3566
I000106,20220202,P0497,142,3097,2609
I000107,20250327,P0182,79,1641,2023
I000108,20240226,P0255,25,4926,2640
I000109,20250602,P0050,132,1299,3318
I000110,20241128,P0031,10,3628,969
I000111,20251119,P0330,130,2245,1266
I000112,20241126,P0444,69,3232,1034
I000113,20240406,P0399,75,3531,1740
