DateKey,RegionID,ProductID,RevenueTarget,ProfitTarget
20240325,133,P0359,58765,853685
20230106,121,P0152,3934885,152145
20240803,113,P0109,2282801,875917
20230615,138,P0071,4208025,356794
20251206,65,P0384,256911,158563
20221130,56,P0251,3829434,593831
20220707,95,P0417,4513387,174797
20240905,144,P0346,1624013,567774
20230123,29,P0342,2047138,436885
20241230,117,P0383,2429231,681947
20240505,47,P0403,2876812,326838
20250505,81,P0129,1019295,293499
20221214,13,P0160,3522718,863590
20230109,30,P0066,895344,901283
20240506,117,P0004,1517735,802213
20240201,54,P0001,1146263,107156
20241210,15,P0405,3445111,551077
20230601,133,P0464,1733022,659558
20250513,4,P0184,2803626,573210
20250414,95,P0190,535158,118794
20240116,130,P0365,133024,169602
20251221,54,P0037,2267445,502703
20250703,123,P0378,4703578,861326
20230708,57,P0307,1750603,814666
20240904,39,P0239,468322,940474
20240228,37,P0381,3855293,170208
20231211,73,P0296,4890835,337681
20240504,39,P0277,334560,537078
20220530,75,P0242,3329637,280033
20240315,65,P0255,3056601,513114
20220413,89,P0445,953182,46133
20230614,49,P0493,1667679,191433
20240706,2,P0108,2566663,278717
20250215,124,P0121,2821937,190009
20231107,41,P0062,3875489,536253
20240930,144,P0116,4569947,81021
20220824,109,P0051,2758429,432157
20240321,52,P0199,2715939,666516
20230128,94,P0341,1343633,721078
20220303,10,P0279,422954,961831
20230924,83,P0142,3134464,742137
20240519,45,P0034,4753542,923963
20251024,68,P0265,4660870,713984
20221014,132,P0119,825957,717552
20250419,55,P0291,2553086,270621
20251024,6,P0310,693019,913323
20231205,32,P0012,2029268,843261
20250521,124,P0119,4764254,205933
20220406,34,P0346,269185,44254
20240621,29,P0032,936374,637978
20221103,9,P0490,3098080,557990
20240119,139,P0041,3337986,47451
20230410,11,P0118,4861363,917567
20240723,24,P0377,340750,99507
20231102,70,P0289,2945739,413719
20250112,6,P0330,3675126,435108
20241210,7,P0042,3335987,173820
20241122,149,P0432,3625503,788446
20251230,141,P0381,2657056,611711
20220511,76,P0201,1269698,962851
20250513,125,P0147,2365471,107571
20250408,61,P0050,1715271,932175
20220711,101,P0319,318035,107104
20230316,29,P0074,3175435,531573
20220408,6,P0461,1745406,247877
20241101,30,P0249,4797505,486477
20220314,119,P0291,2309240,768592
20221222,45,P0237,3078153,28573
20241223,47,P0124,3222356,628032
20231021,136,P0367,4746600,171515
20220718,15,P0482,2529218,748352
20230618,6,P0375,1408305,308558
20230329,80,P0347,3750571,255603
20220203,64,P0465,2428146,467853
20220110,29,P0327,3455541,473221
20241119,29,P0460,3921422,472684
20250327,73,P0232,3501820,773675
20250718,81,P0388,321457,822427
20230805,63,P0272,2292341,707811
20250326,11,P0290,3968083,286871
20250329,118,P0347,3182394,975640
20220504,19,P0090,1988582,506102
20250630,102,P0063,2415751,945800
20250519,75,P0406,4162228,857941
20220529,84,P0443,179041,192379
20240403,53,P0150,4053882,596550
20231011,49,P0483,751373,382175
20230711,130,P0364,3659551,901930
20240318,127,P0422,3993394,496030
20251115,64,P0171,2563025,537499
20240708,50,P0007,3395186,748335
20220112,123,P0207,181194,913066
20230115,18,P0291,3891140,781900
20250310,138,P0358,1076687,361301
20221111,79,P0497,1483858,69415
20240221,13,P0479,237421,699453
20221102,47,P0224,2278687,942494
20230329,131,P0487,4000842,540609
20220725,123,P0203,4889705,533546
20240719,111,P0079,2400132,12986
20240524,147,P0234,2498831,309126
20241129,106,P0474,1691804,824597
20250504,105,P0083,628893,793105
20220109,117,P0277,2032070,926407
20230120,75,P0326,1143526,769734
20241208,49,P0035,962737,410478
20220708,128,P0226,117796,949976
20221209,78,P0128,335613,782496
20220512,83,P0305,1849329,719943
20250519,20,P0460,1147848,432652
20250416,53,P0243,3543910,410401
20231028,1,P0153,1293463,511953
20250920,63,P0269,3448747,321452
20241029,47,P0003,1772557,186285
20231116,84,P0084,515805,113659
20241114,38,P0403,231971,77278
20230826,4,P0439,711303,578973
20231109,123,P0398,1722883,482956
20230912,6,P0104,1993557,416252
20220130,96,P0424,3815445,129235
20251029,25,P0035,2276174,166911
20250627,22,P0026,89052,51802
20230827,136,P0204,817895,977035
20241213,34,P0165,4946595,22566
20240920,115,P0461,2875120,430459
20230903,142,P0246,3976975,329678
20250930,89,P0448,1786971,464448
20230523,143,P0100,924120,908879
20250630,122,P0079,2666871,543566
20241122,42,P0057,3940876,862379
20231030,89,P0196,3946325,496195
20240722,44,P0028,4919873,271483
20230405,46,P0330,602189,41815
20230409,83,P0174,471180,120460
20241119,71,P0274,2015950,943810
20250901,148,P0002,4504332,436563
20230614,76,P0302,2660550,126555
20220604,114,P0029,646286,975105
20230802,7,P0411,1960314,483986
20230630,33,P0313,806395,157156
20240606,103,P0055,1465466,641201
20251201,74,P0108,1478416,395189
20240122,88,P0332,4512144,399269
20231231,124,P0468,1003336,113681
20250104,140,P0372,4878112,41783
20221109,38,P0181,2870586,24352
20231125,135,P0048,3185745,579343
20251008,9,P0275,374110,669627
20250730,87,P0421,374839,143723
20230808,147,P0109,4499921,937363
20250303,123,P0105,584874,392053
20241019,130,P0070,1918965,983584
20240112,9,P0374,2353514,575657
20230320,13,P0479,437836,419210
20250809,16,P0192,596737,317906
20250115,72,P0125,3714105,242657
20250423,124,P0232,1244028,291232
20240512,73,P0356,1648613,353372
20230504,119,P0336,4154117,978965
20240508,91,P0438,4423621,205850
20231109,28,P0461,2681855,516718
20250719,56,P0207,349307,870978
20231029,37,P0134,1173298,932037
20220524,85,P0014,3643755,378408
20240121,26,P0306,609340,554543
20230630,90,P0380,3907774,808262
20250514,137,P0182,768774,551902
20230305,102,P0464,3075174,150732
20240206,125,P0081,365713,324861
20250409,75,P0007,2913213,545701
20241106,128,P0474,3697153,844832
20230826,53,P0370,3781018,132759
20230210,68,P0263,3501800,733837
20230719,24,P0257,2022410,335605
20250128,133,P0417,2594999,978238
20220115,40,P0492,1782079,913038
20220425,119,P0256,4835030,324797
20230412,48,P0252,4949175,852868
20250306,27,P0021,4913697,166920
20240101,135,P0318,2320276,896180
20221223,8,P0001,4559054,107507
20250814,102,P0168,764420,846693
20231103,28,P0189,2381737,542115
20221104,83,P0390,663671,154245
20241231,121,P0052,3891029,108432
20220904,81,P0340,4790080,687118
20230103,98,P0317,4016996,349352
20221001,84,P0346,2397805,840556
20250814,71,P0156,1494556,726699
20221016,57,P0193,269760,425410
20250917,4,P0301,4021414,75993
20230113,50,P0333,3720673,290745
20250131,73,P0100,503666,762326
20250913,125,P0299,4342235,416087
20240305,129,P0426,1341555,20852
20220117,62,P0032,1881672,253683
20241208,51,P0465,4641722,856550
20230929,53,P0217,509696,723548
20250718,81,P0142,2859958,168185
20231207,4,P0298,3690996,762359
20221024,111,P0428,3862310,422999
20220903,149,P0141,4337993,749569
20230714,142,P0076,3011901,433573
20220813,56,P0027,1153142,791209
20231117,116,P0134,626290,919495
20250103,100,P0088,2181329,377206
20241118,28,P0306,534194,139647
20251220,36,P0165,920472,825796
20220221,14,P0067,2430589,114471
20250725,121,P0033,118472,374843
20230905,52,P0055,893388,392206
20240803,55,P0490,1142122,359767
20241120,145,P0159,4087580,30436
20240410,142,P0355,279975,138390
20220721,144,P0171,1500521,509104
20240419,57,P0391,838864,917852
20221204,94,P0439,2803297,784333
20240730,25,P0200,4246271,568260
20221023,135,P0394,2729325,975097
20240918,86,P0108,4577217,203225
20251029,42,P0075,3339207,774496
20241128,110,P0462,1378294,417657
20240922,136,P0139,2717620,18322
20230724,6,P0168,571287,941591
20250619,120,P0174,4350858,21776
20250908,114,P0199,3727762,574208
20240316,5,P0325,1315240,652475
20220825,104,P0333,3838773,584954
20250908,32,P0500,1917772,493274
20240627,65,P0374,3734087,413834
20220530,54,P0076,4604208,734619
20240717,69,P0468,2392751,331204
20220906,76,P0040,2294778,272385
20220809,45,P0048,3873923,63920
20250126,143,P0348,2436298,787102
20220114,49,P0130,2818274,817746
20230815,119,P0334,3305046,649934
20241117,27,P0372,3040502,98042
20230214,20,P0371,2136636,327220
20251205,38,P0465,4967108,570185
20251214,53,P0211,4104664,842869
20240512,56,P0079,463981,825852
20230908,29,P0073,2791282,551722
20220915,102,P0231,1449975,900142
20230809,56,P0500,2535972,710129
20231018,127,P0163,3501303,723993
20230905,134,P0419,1791495,892888
20240617,78,P0353,4404092,602353
20230818,11,P0478,57628,688567
20241119,57,P0369,122869,403030
20231018,45,P0224,755717,29632
20220821,67,P0154,960889,656417
20250505,33,P0010,627618,660494
20231101,51,P0419,644355,209651
20240921,4,P0484,2009340,78021
20240921,97,P0184,1600917,202591
20241209,55,P0149,4260614,735307
20230515,108,P0175,4260734,266451
20230518,4,P0013,3830967,261943
20250815,16,P0321,4854633,562489
20220723,30,P0163,1839407,827438
20221123,88,P0375,2170960,423301
20241223,100,P0175,4158779,958250
20220107,70,P0232,4550344,430856
20230523,127,P0427,3017670,65770
20250702,125,P0499,3215220,326711
20240318,30,P0074,2362700,110532
20240613,16,P0496,1225740,514413
20230321,124,P0308,1294588,710136
20250609,15,P0231,1829246,648205
20240126,80,P0099,345385,362215
20221208,128,P0135,130391,95950
20250714,83,P0339,2575812,316027
20230530,133,P0370,1861487,586965
